place_id,name,address,lat,lng,distance_miles,facility_size_acres,building_count,bay_count,trucks_visible,trailers_visible,cleanliness_score,building_condition,has_signage,has_fencing,lot_organized,facility_type,analysis_notes,image_path,analyzed_at
ChIJ-WJDhfMNaYgRHeoMYAZDyCw,FleetPride Service Center,"355 Farmington Ave, Louisville, KY 40209, USA",38.2001136,-85.7553746,0.6,4.5,1,10,10,25,6,7,False,False,True,service_center,"The facility appears to be a service center with a large parking area for trucks and trailers. The lot is relatively organized, and the building appears to be in decent condition. There is no visible signage or fencing.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJ-WJDhfMNaYgRHeoMYAZDyCw.jpg,2026-03-30T15:49:39.178748
ChIJzbLCjSUNaYgR07uB9vzkYqk,Sternberg Commercial Truck Sales,"3700 Crittenden Dr, Louisville, KY 40209, USA",38.1993662,-85.75142679999999,0.8,4.5,2,10,15,5,7,7,False,False,True,dealer,"This facility appears to be a commercial truck dealership. The lot is well-organized with many trucks and vans parked in rows. There are several service bays visible, suggesting repair services are offered.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJzbLCjSUNaYgR07uB9vzkYqk.jpg,2026-03-30T15:49:42.368898
ChIJcUkLdlQNaYgRQO4XhJXWRWg,SMM TRUCK REPAIR CORP,"720 Locust Ln, Louisville, KY 40217, USA",38.206399999999995,-85.7407454,1.0,3.5,1,10,15,30,5,6,False,True,True,repair_shop,"This facility appears to be a truck repair shop with a large storage yard for trailers. The lot is fenced, and parking is generally organized. The building appears to be in fair condition, but the overall cleanliness of the lot could be improved.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJcUkLdlQNaYgRQO4XhJXWRWg.jpg,2026-03-30T15:49:46.140472
ChIJGcjpQ2INaYgR-sqytGOsagk,AT Truck & Trailer Service LLC,"1815 Commerce Rd Suite 1, Louisville, KY 40208, USA",38.221243199999996,-85.7726472,1.1,4.5,6,0,0,1,4,5,False,False,False,storage_yard,The facility appears to be a storage yard with multiple large buildings. There is one trailer visible. The lot appears somewhat unorganized and the building conditions are average.,/Users/justinfagan/dev/reseller-intel/facility-images/ChIJGcjpQ2INaYgR-sqytGOsagk.jpg,2026-03-30T15:49:49.398364
ChIJ3yvNh54NaYgRFUMcpBFYlkE,Dexter's Auto & Truck Service,"518 Dakota St, Louisville, KY 40209, USA",38.1944914,-85.748924,1.1,2.5,6,10,2,0,5,5,False,False,False,repair_shop,"The facility appears to be a truck and auto repair shop with multiple buildings. The lot is somewhat cluttered, and the building conditions vary. There is no visible signage or fencing.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJ3yvNh54NaYgRFUMcpBFYlkE.jpg,2026-03-30T15:49:52.636901
ChIJwWmXXZkNaYgRmd3HM5YHduE,Goodyear Commercial Tire & Service Center,"4334 Crittenden Dr, Louisville, KY 40209, USA",38.1916942,-85.7520862,1.2,4.5,3,15,4,1,7,7,True,False,True,service_center,"The facility appears to be a Goodyear Commercial Tire & Service Center. There are multiple service bays visible, and the parking lot is well-organized. The facility seems to be in good condition overall.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJwWmXXZkNaYgRmd3HM5YHduE.jpg,2026-03-30T15:49:55.911224
ChIJCRZkvkQNaYgRaVoZV2EeNCY,Best-One Louisville,"1501 S Brook St, Louisville, KY 40208, USA",38.224888899999996,-85.7552943,1.2,2.5,4,10,3,3,6,6,False,False,True,service_center,"The facility appears to be a service center with multiple service bays. The lot is somewhat organized, but the building condition appears to be average. There is no visible signage or fencing.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJCRZkvkQNaYgRaVoZV2EeNCY.jpg,2026-03-30T15:49:59.161518
ChIJHynIw_MTaYgRi4_fFf5ZfUw,Tirexpress Truck,"2220 7th Street Rd, Louisville, KY 40208, USA",38.2182414,-85.78038269999999,1.3,3.5,3,24,0,4,7,7,False,False,True,service_center,"The facility appears to be a truck service center with multiple service bays. The lot is relatively organized, and the buildings appear to be in decent condition. There are a few trailers parked on the property, but no trucks are visible.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJHynIw_MTaYgRi4_fFf5ZfUw.jpg,2026-03-30T15:50:02.236649
ChIJDxPsCVcSaYgRksMxmyiyJz8,Shively Truck Service,"2756 7th Street Rd, Louisville, KY 40215, USA",38.2114597,-85.7873212,1.5,4.5,8,15,3,5,5,6,False,False,False,service_center,This facility appears to be a truck service center with multiple buildings and service bays. The lot is not very organized and there is no visible signage or fencing. The building conditions are average.,/Users/justinfagan/dev/reseller-intel/facility-images/ChIJDxPsCVcSaYgRksMxmyiyJz8.jpg,2026-03-30T15:50:05.540726
ChIJKV4ZzZISaYgRmgfTZuMu200,Truck Parts & Service Inc.,"2758 7th Street Rd, Louisville, KY 40215, USA",38.211231,-85.7866018,1.5,2.5,9,15,0,0,5,6,False,False,False,repair_shop,"The facility has multiple buildings, some with visible service bays. The lot appears somewhat cluttered and lacks organized parking. No trucks or trailers are visible in the lot, and there is no visible signage or fencing.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJKV4ZzZISaYgRmgfTZuMu200.jpg,2026-03-30T15:50:08.917542
ChIJzyXfoj8OaYgRoSZsNfM26vM,Autocar Parts LLC,"1458 S Shelby St, Louisville, KY 40217, USA",38.2259616,-85.7425538,1.5,3.5,2,6,1,3,7,7,False,False,True,parts_warehouse,The facility appears to be a parts warehouse with a decent sized lot. The parking lot is organized and there are a few trailers parked. The building condition is average and there is no visible signage.,/Users/justinfagan/dev/reseller-intel/facility-images/ChIJzyXfoj8OaYgRoSZsNfM26vM.jpg,2026-03-30T15:50:12.721350
ChIJdb6N3PwPaYgRSjJjoNu8Zes,JIT Truck Parts,"1458 S Shelby St, Louisville, KY 40217, USA",38.2259616,-85.7425538,1.5,3.5,2,6,1,2,7,7,False,False,True,parts_warehouse,"The facility appears to be a parts warehouse with a decent sized lot. The lot is organized with designated parking spaces. There are a few loading docks visible, suggesting active shipping and receiving operations.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJdb6N3PwPaYgRSjJjoNu8Zes.jpg,2026-03-30T15:50:15.943674
ChIJk9NP25ISaYgR70ZU2b1CX1E,Tip Top Mobile Detail & Wash,"2752 7th Street Rd Unit#3, Louisville, KY 40215, USA",38.2117722,-85.7867522,1.5,4.5,8,15,0,0,5,6,False,False,False,service_center,"The facility appears to be a commercial service center with multiple buildings and service bays. There is a large area with many cars, possibly for parts or repair. The lot appears somewhat disorganized and could use some cleaning.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJk9NP25ISaYgR70ZU2b1CX1E.jpg,2026-03-30T15:50:19.347133
ChIJdd9qO8sNaYgRfV9mBgbhhXY,Louisville Roadside & Towing,"1340 S 3rd St, Louisville, KY 40208, USA",38.2311127,-85.75989560000001,1.6,0.2,5,0,0,0,7,7,False,False,False,other,"The facility appears to be a residential area with multiple buildings. There are no visible trucks or trailers, and no signs of a commercial truck facility. The buildings appear to be in decent condition.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJdd9qO8sNaYgRfV9mBgbhhXY.jpg,2026-03-30T15:50:22.618532
ChIJzc8DqHUNaYgR4zg2kDJkvl8,Peak Trailer Repair Services,"4601 Allmond Ave Suite 200, Louisville, KY 40209, USA",38.1836863,-85.757454,1.7,3.5,1,12,2,12,7,8,False,False,True,repair_shop,The facility appears to be a truck repair shop with a large building and several service bays. There are a number of trailers parked in an organized manner. The building appears to be in good condition.,/Users/justinfagan/dev/reseller-intel/facility-images/ChIJzc8DqHUNaYgR4zg2kDJkvl8.jpg,2026-03-30T15:50:25.826539
ChIJI4mpw40NaYgRJpxHsiviH4M,Wiers Fleet Service & Truck Repair Louisville,"4621 Allmond Ave, Louisville, KY 40209, USA",38.1812956,-85.7580864,1.9,4.5,3,10,12,25,6,6,False,False,True,repair_shop,"This facility appears to be a truck repair shop with a decent amount of truck and trailer parking. The lot is somewhat organized, but the building condition appears to be average. There is no visible signage or fencing.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJI4mpw40NaYgRJpxHsiviH4M.jpg,2026-03-30T15:50:28.990056
ChIJhd0jUuMTaYgRMKYd7uqcXxg,Reliable Truck Service,"3433 S 7th St, Louisville, KY 40216, USA",38.2007036,-85.7934451,1.9,4.5,2,6,10,35,5,6,False,True,True,service_center,"This facility appears to be a truck service center with a large number of trailers stored on site. The lot is mostly organized, and there is fencing around the perimeter. The building condition is average, and there is no visible signage.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJhd0jUuMTaYgRMKYd7uqcXxg.jpg,2026-03-30T15:50:32.468423
ChIJaaf6tYoNaYgRFIBn5OOZq7A,502 HP Diesel,"121 Badger Ave, Louisville, KY 40214, USA",38.1803752,-85.761354,1.9,4.5,5,10,0,15,4,5,False,False,False,storage_yard,"The facility appears to be a storage yard with multiple buildings. There are many trailers and vehicles parked on the lot, but no visible trucks. The lot appears somewhat disorganized and the building conditions are average.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJaaf6tYoNaYgRFIBn5OOZq7A.jpg,2026-03-30T15:50:35.518811
ChIJZT2hnl0NaYgRnj98ukC4R_g,Gabriel and Sons Welded Fortress LLC,"134 E Woodlawn Ave, Louisville, KY 40214, USA",38.18089270000001,-85.7608595,1.9,2.5,5,10,0,0,4,5,False,False,False,repair_shop,The facility appears to be a repair shop with multiple buildings and service bays. The lot is not very organized and the building conditions are average. There is no visible signage or fencing.,/Users/justinfagan/dev/reseller-intel/facility-images/ChIJZT2hnl0NaYgRnj98ukC4R_g.jpg,2026-03-30T15:50:38.621443
ChIJjS5eIcANaYgRXz-2XIYMN7w,Cardinal Parts | Auto & Truck,"4710 Allmond Ave, Louisville, KY 40209, USA",38.1791836,-85.7589156,2.0,2.5,3,0,0,0,7,6,False,False,True,parts_warehouse,"The facility appears to be a parts warehouse with multiple buildings. The parking lot is organized, and the overall cleanliness is decent. There is no visible signage or fencing.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJjS5eIcANaYgRXz-2XIYMN7w.jpg,2026-03-30T15:50:41.782613
ChIJtxBfsaQNaYgRn8bhUYkVdx4,Diesel Advantage,"4710 Allmond Ave, Louisville, KY 40209, USA",38.1791835,-85.7589158,2.0,1.5,2,0,0,0,7,6,False,False,True,other,"The facility appears to be an industrial building with a parking lot. There are no trucks or trailers visible, and the building condition is fair. It is difficult to determine the exact use of the facility from the satellite imagery.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJtxBfsaQNaYgRn8bhUYkVdx4.jpg,2026-03-30T15:50:45.823170
ChIJ51MGBo0NaYgRdjFkmQ29c8Y,"Diesel USA Group, Inc.","4710 Allmond Ave, Louisville, KY 40209, USA",38.1791267,-85.7590669,2.0,3.5,3,10,0,0,7,7,False,False,True,service_center,"The facility consists of three large buildings with a paved parking lot. There are several service bays visible, suggesting a service or repair focus. The lot appears organized, but there are no trucks or trailers visible in the lot.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJ51MGBo0NaYgRdjFkmQ29c8Y.jpg,2026-03-30T15:50:49.043742
ChIJicUHINoNaYgR0m5YQhufmsY,Grizzly,"4710 Allmond Ave, Louisville, KY 40209, USA",38.179183699999996,-85.7589157,2.0,2.5,1,0,0,0,7,6,False,False,True,other,"The facility appears to be a warehouse or distribution center. The parking lot is organized, and the building appears to be in fair condition. There are no trucks or trailers visible in the lot.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJicUHINoNaYgR0m5YQhufmsY.jpg,2026-03-30T15:50:52.328979
ChIJO-SqC40NaYgR_9EAw6U54tk,Tredroc Tire Co,"4703 Allmond Ave, Louisville, KY 40209, USA",38.178966200000005,-85.7579413,2.0,3.5,2,10,0,0,7,7,False,False,True,parts_warehouse,"The facility appears to be a parts warehouse with two large buildings. There are several loading docks visible, and a large number of tires are stored outside. The lot appears organized, but there is no visible signage or fencing.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJO-SqC40NaYgR_9EAw6U54tk.jpg,2026-03-30T15:50:55.937089
ChIJuxcagO8SaYgRkJS-c87yQpM,AA TRUCK TIRE SERVICES,"2606 Dixie Hwy, Shively, KY 40216, USA",38.2125408,-85.79745419999999,2.1,0.7,2,0,0,0,4,5,False,False,False,other,The facility appears to be a small lot with a building and some storage. The lot is not very organized and there is no visible signage. The building condition appears to be fair.,/Users/justinfagan/dev/reseller-intel/facility-images/ChIJuxcagO8SaYgRkJS-c87yQpM.jpg,2026-03-30T15:50:59.470777
ChIJKY8g0boNaYgRzIZVF9UN6HA,Bob Sumerel Tire Co.,"4850 Crittenden Dr bldg 1, Louisville, KY 40209, USA",38.177321400000004,-85.7507442,2.2,4.5,4,10,3,4,7,7,False,False,True,parts_warehouse,"This facility appears to be a parts warehouse with multiple buildings. The lot is relatively organized with designated parking spaces. There are a few trucks and trailers visible, suggesting regular shipping and receiving activity.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJKY8g0boNaYgRzIZVF9UN6HA.jpg,2026-03-30T15:51:02.631349
ChIJZQJCjPkSaYgReeMOkeTmAjg,Mosbys Towing & Transport LLC,"3119 Dixie Hwy, Louisville, KY 40216, USA",38.204316999999996,-85.7989149,2.2,3.5,4,6,5,10,5,6,False,False,False,storage_yard,"This facility appears to be a storage yard for trucks, trailers, and other vehicles. The lot is not very organized and there is no visible fencing or signage. The building condition is average.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJZQJCjPkSaYgReeMOkeTmAjg.jpg,2026-03-30T15:51:05.906763
ChIJLzhEvrRyaYgRm5nxIXdtpuc,A Mike's Tire & Trailer Repair,"301 E Breckinridge St, Louisville, KY 40203, USA",38.2411235,-85.75016579999999,2.3,1.2,4,6,2,3,5,5,False,False,True,repair_shop,"The facility appears to be a truck and trailer repair shop. There are several service bays visible. The lot is somewhat organized, but the building condition is average.",/Users/justinfagan/dev/reseller-intel/facility-images/ChIJLzhEvrRyaYgRm5nxIXdtpuc.jpg,2026-03-30T15:51:09.034061
